"Sex" "Age" "Place" "DivPlace" "DIV" "DivAge" "Time" "BostonQualifier" "HomeStateOrCountry"
"110" "M" 61 6926 80 "M60-64" "60-64" 213.37 "N" "BEL"
"111" "M" 29 32 12 "M25-29" "25-29" 143.07 "Y" "ETH"
"112" "M" 29 723 148 "M25-29" "25-29" 171.37 "N" "GBR"
"113" "M" 48 9259 1115 "M45-49" "45-49" 222.35 "Y" "ITA"
"114" "M" 41 19798 2412 "M40-44" "40-44" 251.28 "N" "NY"
"115" "M" 44 10710 1434 "M40-44" "40-44" 227.2 "N" "NE"
"116" "F" 47 9286 251 "F45-49" "45-49" 222.45 "Y" "ITA"
"117" "F" 27 4571 163 "F25-29" "25-29" 203.1 "Y" "GBR"
"118" "M" 52 19706 1662 "M50-54" "50-54" 251.07 "N" "NED"
"119" "M" 30 296 71 "M30-34" "30-34" 163.23 "Y" "OH"
"120" "M" 50 1584 74 "M50-54" "50-54" 180.23 "Y" "NJ"
"121" "M" 51 10709 894 "M50-54" "50-54" 227.2 "Y" "NJ"
"122" "M" 30 30 12 "M30-34" "30-34" 142.45 "N" "CA"
"123" "M" 30 5853 805 "M30-34" "30-34" 208.88 "Y" "COL"
"124" "M" 43 2777 446 "M40-44" "40-44" 191.42 "N" "PR"
"125" "F" 42 13733 603 "F40-44" "40-44" 235.52 "N" "VEN"
"126" "M" 62 10708 165 "M60-64" "60-64" 227.2 "Y" "NJ"
"127" "M" 50 17529 1495 "M50-54" "50-54" 244.92 "Y" "MI"
"128" "M" 48 12831 1505 "M45-49" "45-49" 233.2 "Y" "FRA"
"129" "F" 48 15417 527 "F45-49" "45-49" 239.17 "N" "NY"
"130" "M" 52 3210 229 "M50-54" "50-54" 194.38 "Y" "FRA"
"131" "M" 31 3284 504 "M30-34" "30-34" 194.83 "Y" "NY"
"132" "M" 37 9252 1353 "M35-39" "35-39" 222.33 "N" "NJ"
"133" "M" 44 8422 1160 "M40-44" "40-44" 219.12 "Y" "VEN"
"134" "M" 25 15468 1305 "M25-29" "25-29" 239.28 "N" "NY"
"135" "M" 30 4527 653 "M30-34" "30-34" 202.77 "N" "AUS"
"136" "M" 28 186 51 "M25-29" "25-29" 159.07 "Y" "NY"
"137" "M" 30 823 195 "M30-34" "30-34" 172.97 "N" "CAN"
"138" "M" 28 2769 363 "M25-29" "25-29" 191.35 "N" "NY"
"139" "M" 49 6085 761 "M45-49" "45-49" 209.67 "N" "NJ"
"140" "M" 53 749 19 "M50-54" "50-54" 171.72 "N" "POL"
"141" "M" 52 17535 1496 "M50-54" "50-54" 244.93 "Y" "CHN"
"142" "M" 55 12857 509 "M55-59" "55-59" 233.27 "N" "POL"
"143" "M" 39 6007 969 "M35-39" "35-39" 209.45 "N" "CT"
"144" "F" 39 961 11 "F35-39" "35-39" 174.8 "N" "TX"
"145" "M" 25 7639 749 "M25-29" "25-29" 216.33 "N" "KEN"
"146" "M" 39 384 70 "M35-39" "35-39" 165.05 "Y" "CHN"
"147" "M" 43 715 93 "M40-44" "40-44" 171.3 "Y" "OR"
"148" "M" 35 19702 2392 "M35-39" "35-39" 251.05 "N" "NY"
"149" "M" 43 17551 2198 "M40-44" "40-44" 245 "N" "BRA"
"150" "M" 30 10782 1349 "M30-34" "30-34" 227.47 "Y" "NY"
"151" "F" 31 3217 101 "F30-34" "30-34" 194.43 "N" "VA"
"152" "M" 29 396 100 "M25-29" "25-29" 165.53 "N" "CA"
"153" "F" 51 17574 387 "F50-54" "50-54" 245.05 "Y" "TPE"
"154" "M" 26 346 85 "M25-29" "25-29" 164.35 "Y" "DC"
"155" "M" 43 11221 1501 "M40-44" "40-44" 228.67 "Y" "CT"
"156" "M" 37 3271 640 "M35-39" "35-39" 194.73 "N" "BRA"
"157" "M" 54 18785 1582 "M50-54" "50-54" 248.43 "N" "FRA"
"158" "M" 47 6091 762 "M45-49" "45-49" 209.7 "Y" "GBR"
"159" "M" 45 4520 563 "M45-49" "45-49" 202.73 "N" "FRA"
"160" "F" 41 74 3 "F40-44" "40-44" 150.2 "N" "NJ"
"161" "M" 35 725 163 "M35-39" "35-39" 171.4 "N" "ITA"
"162" "M" 46 91 3 "M45-49" "45-49" 153.05 "N" "NY"
"163" "M" 53 305 6 "M50-54" "50-54" 163.45 "N" "POR"
"164" "M" 55 16108 665 "M55-59" "55-59" 240.73 "N" "WI"
"165" "M" 37 303 51 "M35-39" "35-39" 163.38 "Y" "SUI"
"166" "M" 42 1533 242 "M40-44" "40-44" 179.73 "N" "OR"
"167" "M" 39 954 213 "M35-39" "35-39" 174.73 "Y" "NY"
"168" "M" 54 8454 712 "M50-54" "50-54" 219.25 "N" "FRA"
"169" "M" 53 12888 1082 "M50-54" "50-54" 233.35 "Y" "CAN"
"170" "F" 48 4556 66 "F45-49" "45-49" 202.97 "Y" "NY"
"171" "M" 40 8468 1166 "M40-44" "40-44" 219.28 "N" "SRI"
"172" "M" 50 18708 1571 "M50-54" "50-54" 248.22 "N" "FRA"
